file,column,dtype,description
data/aggregate/confirmatory__development_feature_outcome_table.csv,pred_h4_m1_kappa99,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,pred_h4_m2_sv1,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,pred_h4_m2_sv2,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,pred_h4_m2_sv3,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,pred_h4_m2_signal,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,pred_h4_m2_effective_rank,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,pred_h4_m2_numerical_rank,int64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,pred_h4_m2_r90,int64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,pred_h4_m2_sigma90,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,pred_h4_m2_kappa90,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,pred_h4_m2_r95,int64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,pred_h4_m2_sigma95,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,pred_h4_m2_kappa95,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,pred_h4_m2_r99,int64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,pred_h4_m2_sigma99,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,pred_h4_m2_kappa99,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,lambda2_abs,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,tau_hidden,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,tau_observed_proxy,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,bank_index,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,alpha_t,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,self_bias,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,alpha_e,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,gen_seed,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,pred_h4_m1_sv3,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,pred_h4_m1_sv4,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,pred_h4_m2_sv4,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,pred_h4_m1_sv5,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,pred_h4_m2_sv5,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,selection_order,int64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,match_protocol,object,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,pred_h4_m3_sv1,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,pred_h4_m3_sv2,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,pred_h4_m3_signal,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,pred_h4_m3_effective_rank,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,pred_h4_m3_numerical_rank,int64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,pred_h4_m3_r90,int64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,pred_h4_m3_sigma90,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,pred_h4_m3_kappa90,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,pred_h4_m3_r95,int64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,pred_h4_m3_sigma95,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,pred_h4_m3_kappa95,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,pred_h4_m3_r99,int64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,pred_h4_m3_sigma99,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,pred_h4_m3_kappa99,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,hmm_file,object,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,pred_h4_m3_sv3,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,pred_h4_m3_sv4,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,pred_h4_m3_sv5,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,symbol_entropy,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,symbol_entropy_normalized,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,max_symbol_prob,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,min_symbol_prob_recomputed,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,marginal_l2_from_uniform,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,symbol_prob_0,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,symbol_prob_1,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,symbol_prob_2,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,symbol_prob_3,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,symbol_prob_4,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,symbol_prob_5,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,symbol_prob_6,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,symbol_prob_7,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,log_K,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,log_gain,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,rank_value,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,log_rank,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
